series_name,director_name,genre,ratings,performers,ott_platform
Taali,Ravi Jadhav,Biography Drama,3.531681244,"Sushmita Sen, Nitish Rathore, Ankur Bhatia, Aishwarya Narkar, Hemangi Kavi, Krutika Deo, Meenakshi Chugh, Shaan Kakkar",JioCinema
Commando,Vipul Amrutlal Shah,Action-thriller,3.5,"Prem Pariijaa, Adah Sharma, Shreya Chaudhary, Vaibhav Tatwawadi, Amit Sialm, Tigmanshu Dhulia, Hiren Rathod, Shabnam Vadhera, Pavneet Singh Bagga, Jassi Kapoor, Sangramsingh Thakur, Mukesh Chhabra, Shaji Chaudhary, Ishtiyak Khan, Prem, Manini Chadha",Disney+ Hotstar
The Kashmir Files: Unreported,Vivek Agnihotri,Crime,1.3,"Vivek Agnihotri, Pallavi Joshi",Zee5
Made in Heaven Season 2,"Zoya Akhtar, Nitya Mehra, Alankrita Shrivastava, Neeraj Ghaywan",Drama Romance,2.9,"Arjun Mathur, Sobhita Dhulipala, Jim Sarbh, Shashank Arora, Kalki Koechlin, Shivani Raghuvanshi",Prime Video
Painkiller,"Peter Berg, Dan Skene",Crime,3.531681244,"Uzo Aduba, Matthew Broderick, Taylor Kitsch, Dina Shihabi, West Duchovny, John Rothman, Clark Gregg, Jack Mulhern, Sam Anderson, Ana Cruz Kayne, Brian Markinson, Noah Harpster, John Ales, Johnny Sneed, Tyler Ritter",Netflix
Ladies First: A Story of Women in Hip-Hop,"Hannah Beachler, Raeshem Nijhon",Documentary,3.531681244,"Rag Digga, Latto, Coi Leray, MC Lyte, Queen Latifah, Sha Rock, Saweetie, Roxanne Shanté, Tierra Whack",Netflix
Strange Planet,"Charlie Gavin, Mike Roberts",Science fiction Comedy Anthology,3.531681244,"Tunde Adebimpe, Demi Adejuyigbe, Lori Tan Chinn, Danny Pudi, Hannah Einbinder, James Adomian, Cedric Yarbrough, Beth Stelling",Apple TV+
The Jengaburu Curse,Nila Madhab Panda,Unknown,3.9,"Faria Abdullah, Nassar, Makrand Deshpande, Sudev Nair, Deepak Sampat, Hitesh Dave, Melanie Gray, Charlie Allen, Sabrina Nabi, Mark Adams",SonyLIV
Only Murders in the Building Season 3,John Hoffman,Comedy-drama Mystery thriller,3.531681244,"Steve Martin, Martin Short, Selena Gomez, Aaron Dominguez, Amy Ryan, Cara Delevingne",Disney+ Hotstar
Zombieverse,No description available,Reality,0.8,"Lee Si-young, Ro Hong-chul, Park Na-rae, Dex, DinDin, Tsuki, Yoo Hee-kwan, Yiombi Jonathan, Yiombi Patricia, Kkwachu Hyung",Netflix
The Big Nailed It Baking Challenge,Anna Moulaison,Reality,3.531681244,"Nicole Byer, Jacques Torres",Netflix
The Hunt for Veerappan,Selvamani Selvaraj,Unknown,3.7,Not decided,Netflix
The Lost Flowers of Alice Hart,Glendyn Ivin,Drama,3.531681244,"Sigourney Weaver, Alycia Debnam-Carey, Alyla Browne, Asher Keddie, Leah Purcell, Frankie Adams, Alexander England, Charlie Vickers, Jack Latorre, Tilda Cobham-Hervey, Sebastián Zurita, Shareena Clanton",Prime Video
Heartstopper Season 2,Euros Lyn,Coming-of-age Romantic comedy Teen drama,1.6,"Joe Locke, Kit Connor, Yasmin Finney, William Gao, Cormac Hyde-Corrin, Tobie Donovan, Rhea Norwood, Sebastian Croft, Olivia Colman",Netflix
Physical Season 3,Stephanie Laing,Reality,3.5,"Rose Byrne, Zooey Deschanel, Rory Scovel, Paul Sparks, Della Saba, Lou Taylor Pucci, Dierdre Friel",Apple TV+
"Bastard!! Heavy Metal, Dark Fantasy Season 2",No description available,Dark fantasy [ 1 ] Post-apocalyptic [ 2 ] Sword and sorcery [ 3 ] [ 4 ],3.531681244,"Kishô Taniyama, Erin Yvette",Netflix
